Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%)
2020,2,2295533,5005115,1106725,376667,247016,9031056,Abr-Jun 2020,0.25418212443816096,0.5542114897748391,0.12254657705588361,0.04170796859193432,0.027351840139181953
2020,1,2299457,4903674,1047817,352333,209145,8812426,Ene-Mar 2020,0.26093348188115284,0.5564499491967365,0.11890221829947849,0.039981385375604854,0.023732965247027324
2019,4,2414575,4883869,941295,340144,213298,8793181,Oct-Dic 2019,0.27459630365848264,0.5554154975315532,0.10704829117016924,0.0386827019709932,0.024257205668801768
2019,3,2909805,4800091,852221,338241,264326,9164684,Jul-Sept 2019,0.3175019455117056,0.523759575343787,0.09298967645802081,0.03690700083057965,0.02884180185590687
2019,2,2990457,4635575,760794,308027,265328,8960181,Abr-Jun 2019,0.33374961956683685,0.5173528302609065,0.08490832941879188,0.03437731894032051,0.029611901813144176
2019,1,3132789,4435439,637099,276419,166389,8648135,Ene-Mar 2019,0.3622502423933021,0.5128780945255826,0.07366894711981253,0.03196284516835133,0.01923987079295131
2018,4,3329027,4313831,388013,264299,178485,8473655,Oct-Dic 2018,0.39286789466882943,0.5090874008913508,0.04579051188654719,0.031190672738033352,0.021063519815239115
2018,3,3521447,4238171,247366,246181,93870,8347035,Jul-Sept 2018,0.4218799849287801,0.5077456845454703,0.02963519381433048,0.02949322723577893,0.011245909475640152
2018,2,3557216,4038141,226285,194267,94535,8110444,Abr-Jun 2018,0.4385969498094062,0.49789395007227716,0.027900445401016268,0.023952696054617972,0.011655958662682339
2018,1,3574294,3981129,217460,165300,98870,8037053,Ene-Mar 2018,0.4447269415792082,0.4953468640806524,0.027057181282741323,0.020567240255849998,0.01230177280154803
2017,4,3584311,3818157,211425,155775,100554,7870222,Oct-Dic 2017,0.4554269244247494,0.48513968220972675,0.026863918196970808,0.019792961367544652,0.012776513801008409
2017,3,3622575,3670221,193964,106443,131740,7724943,Jul-Sept 2017,0.4689452077510475,0.47511302025141156,0.025108793683008404,0.013779130797469962,0.017053847517062584
2017,2,3723518,3383434,180777,85813,56122,7429664,Abr-Jun 2017,0.501169097283538,0.4553952910925716,0.024331786740288658,0.01155005125400018,0.007553773629601554
2017,1,3708898,3276251,180146,84813,55746,7305854,Ene-Mar 2017,0.5076611166880696,0.448441893309119,0.024657760749119816,0.011608909786590314,0.007630319467101313
2016,4,3722794,3210602,178070,85119,55088,7251673,Oct-Dic 2016,0.5133703629493498,0.4427394892185569,0.024555712867913377,0.011737843115650692,0.007596591848529298
2016,3,3776442,3124855,169898,81455,54300,7206950,Jul-Sept 2016,0.5240000277509904,0.4335891049611833,0.023574188803862937,0.011302284600281673,0.007534393883681724
2016,2,3782085,3035272,167788,85452,59482,7130079,Abr-Jun 2016,0.5304408268127183,0.42569963109805653,0.023532418084007203,0.011984719944898227,0.008342404060319669
2016,1,3792493,2806359,164371,85370,58763,6907356,Ene-Mar 2016,0.5490513302050741,0.4062855599161242,0.023796514903821377,0.012359287692714839,0.008507307282265458
2015,4,3803024,2898226,139187,85726,58668,6984831,Oct-Dic 2015,0.544469007195736,0.4149314421494235,0.01992703903644913,0.012273167382288848,0.008399344236102491
2015,3,3788696,2840203,162663,84530,58976,6935068,Jul-Sept 2015,0.5463098559379663,0.4095421991536348,0.023455141319450652,0.012188777384735089,0.008504026204213139
2015,2,3767821,2756294,150839,82077,59157,6816188,Abr-Jun 2015,0.5527753929322372,0.4043747032798978,0.02212952459644599,0.012041481250223732,0.008678897941195285
2015,1,3756153,2668248,168188,79098,66045,6737732,Ene-Mar 2015,0.5574803212713121,0.39601575129435246,0.02496210891142598,0.011739558652674223,0.009802259870235266
2014,4,3764038,2536219,149682,76984,71573,6598496,Oct-Dic 2014,0.5704387787762545,0.38436319427942367,0.022684260170802557,0.011666901063515079,0.01084686571000422
2014,3,3714764,2569868,155494,85096,70049,6595271,Jul-Sept 2014,0.5632466050295735,0.38965313176668553,0.0235765899536198,0.012902578226125961,0.010621095023995223
2014,2,3708882,2461670,149363,72405,72148,6464468,Abr-Jun 2014,0.5737335230060695,0.3808000905875008,0.023105226911170416,0.011200457640133728,0.011160701855125589
2014,1,3697066,2407330,150323,70749,72930,6398398,Ene-Mar 2014,0.577811195864965,0.3762394899473274,0.02349384955421654,0.011057299030163488,0.011398165603327582
